nm_candidato,display_name,ig_handle,fb_handle,uf,ig_status,fb_status,observacoes
SORAYA ALENCAR DOS SANTOS,SORAYA SANTOS,dep.sorayasantos,deputadasorayasantos,RJ,Validado,Validado,
SORAYA DE SOUZA MANNATO,DRA. SORAYA MANATO,sorayamanato,soraya.manato.7,ES,Validado,Validado,
STEFANO AGUIAR DOS SANTOS,STEFANO AGUIAR,depstefano,PastorStefanoAguiar,MG,Validado,Validado,
SÉRGIO TOLEDO DE ALBUQUERQUE,SÉRGIO TOLEDO,,deputadosergiotoledo,AL,Validado,Validado,"Instagram Handle: ""deputadosergiotoledo"" Não desponível"
SÓSTENES SILVA CAVALCANTE,SÓSTENES,sostenescavalcante,sostenescavalcante,RJ,Validado,Validado,
TABATA CLAUDIA AMARAL DE PONTES,TABATA AMARAL,tabataamaralsp,tabataamaralSP,SP,Validado,Validado,
TALIRIA PETRONE SOARES,TALÍRIA PETRONE,taliriapetrone,taliriapetronepsol,RJ,Validado,Validado,
TEREZA CRISTINA CORREA DA COSTA DIAS,TEREZA CRISTINA,@terezacristinams,TerezaCristinaMS,MS,Validado,Validado,
TEREZA NELMA DA SILVA PORTO VIANA SOARES,TEREZA NELMA,terezanelmaal,TerezaNelmaAL,AL,Validado,Validado,
TIAGO BRAGA PEREIRA,TIAGO DIMAS,,,TO,Validado,Validado,"Facebook Handle: ""tiagodimas7788"" inacessível"
TIAGO LIMA MITRAUD DE CASTRO LEITE,TIAGO MITRAUD,tiagomitraud,tiagomitraud,MG,Validado,Validado,
TÚLIO GADELHA SALES DE MELO,TÚLIO GADÊLHA,tulio.gadelha,TulioGadelhaOficial,PE,Validado,Validado,
UBIRAJARA DO PINDARÉ ALMEIDA SOUSA,BIRA DO PINDARÉ,biradopindare,bira.dopindare,MA,Validado,Validado,
UBIRATAN ANTUNES SANDERSON,SANDERSON FEDERAL,sandersonrs,deputadosanderson,RS,Validado,Validado,
ULDURICO ALENCAR PINTO,ULDÚRICO JÚNIOR,ulduricojr,ulduricojunior,BA,Validado,Validado,
VALMIR CARLOS DA ASSUNÇÃO,VALMIR ASSUNÇÃO,depvalmir,depvalmir,BA,Validado,Validado,
VANDA DENIR MILANI NOGUEIRA,DRA. VANDA MILANI,,,AC,Validado,Validado,Não achei nenhum
VANDER ALBERTO MASSON,VANDER MASSON,vandermassonoficial,vandermassonoficial,MT,Validado,Validado,
VANDER LUIZ DOS SANTOS LOUBET,VANDER LOUBET,vanderloubet,vanderloubetms,MS,Validado,Validado,
